system:index,mm2019,mm2020,mm2021,mm2022,mm2023,mm2024,mm2025,name,.geo
0,376.1560557018443,661.7559065460466,732.3996543134906,801.104395798054,389.6318542295571,435.09842277572864,635.2808545413733,Zambezi,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,207.96486076712608,414.14002007668023,627.0914237499237,546.089950799942,181.785646378994,294.5280890506692,524.9466104917228,Okavango,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,329.3897074510307,381.83381463820047,648.5036473781101,428.77422638701523,261.7816291808089,243.6683775401571,557.335680946901,Nata,"{""type"":""MultiPoint"",""coordinates"":[]}"
