system:index,END,ESW_SIZE,ID,MWF_SIZE,START,SUFFIX,URL,YEAR,.geo
00000000000000000a31,JUL,1205786,1061454200,13919059,MAY,0000000000-0000000000,gs://kaza_esw_2026/ESW_1061454200_2021_MAY_JUL0000000000-0000000000.tif,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a32,JUL,13013,1061454200,13919059,MAY,0000000000-0000023296,gs://kaza_esw_2026/ESW_1061454200_2021_MAY_JUL0000000000-0000023296.tif,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a33,FEB,809704,1061454200,13919059,NOV,0000000000-0000000000,gs://kaza_esw_2026/ESW_1061454200_2021_NOV_FEB0000000000-0000000000.tif,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a34,FEB,8845,1061454200,13919059,NOV,0000000000-0000023296,gs://kaza_esw_2026/ESW_1061454200_2021_NOV_FEB0000000000-0000023296.tif,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a35,NOV,614777,1061454200,13919059,SEP,0000000000-0000000000,gs://kaza_esw_2026/ESW_1061454200_2021_SEP_NOV0000000000-0000000000.tif,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a36,NOV,10290,1061454200,13919059,SEP,0000000000-0000023296,gs://kaza_esw_2026/ESW_1061454200_2021_SEP_NOV0000000000-0000023296.tif,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a37,MAY,3028600,1061454200,13919059,FEB,0000000000-0000000000,gs://kaza_esw_2026/ESW_1061454200_2022_FEB_MAY0000000000-0000000000.tif,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a38,MAY,62472,1061454200,13919059,FEB,0000000000-0000023296,gs://kaza_esw_2026/ESW_1061454200_2022_FEB_MAY0000000000-0000023296.tif,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a39,SEP,656517,1061454200,13919059,JUL,0000000000-0000000000,gs://kaza_esw_2026/ESW_1061454200_2022_JUL_SEP0000000000-0000000000.tif,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a3a,SEP,9992,1061454200,13919059,JUL,0000000000-0000023296,gs://kaza_esw_2026/ESW_1061454200_2022_JUL_SEP0000000000-0000023296.tif,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a3b,JUL,1200215,1061454200,13919059,MAY,0000000000-0000000000,gs://kaza_esw_2026/ESW_1061454200_2022_MAY_JUL0000000000-0000000000.tif,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a3c,JUL,13724,1061454200,13919059,MAY,0000000000-0000023296,gs://kaza_esw_2026/ESW_1061454200_2022_MAY_JUL0000000000-0000023296.tif,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a3d,FEB,810640,1061454200,13919059,NOV,0000000000-0000000000,gs://kaza_esw_2026/ESW_1061454200_2022_NOV_FEB0000000000-0000000000.tif,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a3e,FEB,12021,1061454200,13919059,NOV,0000000000-0000023296,gs://kaza_esw_2026/ESW_1061454200_2022_NOV_FEB0000000000-0000023296.tif,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a3f,NOV,556533,1061454200,13919059,SEP,0000000000-0000000000,gs://kaza_esw_2026/ESW_1061454200_2022_SEP_NOV0000000000-0000000000.tif,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a40,NOV,6458,1061454200,13919059,SEP,0000000000-0000023296,gs://kaza_esw_2026/ESW_1061454200_2022_SEP_NOV0000000000-0000023296.tif,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a41,MAY,774204,1061454200,13919059,FEB,0000000000-0000000000,gs://kaza_esw_2026/ESW_1061454200_2023_FEB_MAY0000000000-0000000000.tif,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a42,MAY,53532,1061454200,13919059,FEB,0000000000-0000023296,gs://kaza_esw_2026/ESW_1061454200_2023_FEB_MAY0000000000-0000023296.tif,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a43,SEP,609653,1061454200,13919059,JUL,0000000000-0000000000,gs://kaza_esw_2026/ESW_1061454200_2023_JUL_SEP0000000000-0000000000.tif,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a44,SEP,9204,1061454200,13919059,JUL,0000000000-0000023296,gs://kaza_esw_2026/ESW_1061454200_2023_JUL_SEP0000000000-0000023296.tif,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a45,JUL,729790,1061454200,13919059,MAY,0000000000-0000000000,gs://kaza_esw_2026/ESW_1061454200_2023_MAY_JUL0000000000-0000000000.tif,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a46,JUL,327,1061454200,13919059,MAY,0000000000-0000023296,gs://kaza_esw_2026/ESW_1061454200_2023_MAY_JUL0000000000-0000023296.tif,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a47,FEB,606137,1061454200,13919059,NOV,0000000000-0000000000,gs://kaza_esw_2026/ESW_1061454200_2023_NOV_FEB0000000000-0000000000.tif,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a48,FEB,19731,1061454200,13919059,NOV,0000000000-0000023296,gs://kaza_esw_2026/ESW_1061454200_2023_NOV_FEB0000000000-0000023296.tif,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a49,NOV,532978,1061454200,13919059,SEP,0000000000-0000000000,gs://kaza_esw_2026/ESW_1061454200_2023_SEP_NOV0000000000-0000000000.tif,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a4a,NOV,9133,1061454200,13919059,SEP,0000000000-0000023296,gs://kaza_esw_2026/ESW_1061454200_2023_SEP_NOV0000000000-0000023296.tif,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a4b,MAY,584407,1061454200,13919059,FEB,0000000000-0000000000,gs://kaza_esw_2026/ESW_1061454200_2024_FEB_MAY0000000000-0000000000.tif,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a4c,MAY,11660,1061454200,13919059,FEB,0000000000-0000023296,gs://kaza_esw_2026/ESW_1061454200_2024_FEB_MAY0000000000-0000023296.tif,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a4d,SEP,491005,1061454200,13919059,JUL,0000000000-0000000000,gs://kaza_esw_2026/ESW_1061454200_2024_JUL_SEP0000000000-0000000000.tif,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a4e,SEP,3719,1061454200,13919059,JUL,0000000000-0000023296,gs://kaza_esw_2026/ESW_1061454200_2024_JUL_SEP0000000000-0000023296.tif,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a4f,JUL,534816,1061454200,13919059,MAY,0000000000-0000000000,gs://kaza_esw_2026/ESW_1061454200_2024_MAY_JUL0000000000-0000000000.tif,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a50,JUL,3408,1061454200,13919059,MAY,0000000000-0000023296,gs://kaza_esw_2026/ESW_1061454200_2024_MAY_JUL0000000000-0000023296.tif,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a51,FEB,562788,1061454200,13919059,NOV,0000000000-0000000000,gs://kaza_esw_2026/ESW_1061454200_2024_NOV_FEB0000000000-0000000000.tif,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a52,FEB,19157,1061454200,13919059,NOV,0000000000-0000023296,gs://kaza_esw_2026/ESW_1061454200_2024_NOV_FEB0000000000-0000023296.tif,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a53,NOV,489783,1061454200,13919059,SEP,0000000000-0000000000,gs://kaza_esw_2026/ESW_1061454200_2024_SEP_NOV0000000000-0000000000.tif,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a54,NOV,6034,1061454200,13919059,SEP,0000000000-0000023296,gs://kaza_esw_2026/ESW_1061454200_2024_SEP_NOV0000000000-0000023296.tif,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a55,MAY,680339,1061454200,13919059,FEB,0000000000-0000000000,gs://kaza_esw_2026/ESW_1061454200_2025_FEB_MAY0000000000-0000000000.tif,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a56,MAY,3081,1061454200,13919059,FEB,0000000000-0000023296,gs://kaza_esw_2026/ESW_1061454200_2025_FEB_MAY0000000000-0000023296.tif,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a57,SEP,563357,1061454200,13919059,JUL,0000000000-0000000000,gs://kaza_esw_2026/ESW_1061454200_2025_JUL_SEP0000000000-0000000000.tif,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a58,SEP,749,1061454200,13919059,JUL,0000000000-0000023296,gs://kaza_esw_2026/ESW_1061454200_2025_JUL_SEP0000000000-0000023296.tif,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a59,JUL,847884,1061454200,13919059,MAY,0000000000-0000000000,gs://kaza_esw_2026/ESW_1061454200_2025_MAY_JUL0000000000-0000000000.tif,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a5a,JUL,71,1061454200,13919059,MAY,0000000000-0000023296,gs://kaza_esw_2026/ESW_1061454200_2025_MAY_JUL0000000000-0000023296.tif,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a5b,FEB,442980,1061454200,13919059,NOV,0000000000-0000000000,gs://kaza_esw_2026/ESW_1061454200_2025_NOV_FEB0000000000-0000000000.tif,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a5c,FEB,175,1061454200,13919059,NOV,0000000000-0000023296,gs://kaza_esw_2026/ESW_1061454200_2025_NOV_FEB0000000000-0000023296.tif,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a5d,NOV,509351,1061454200,13919059,SEP,0000000000-0000000000,gs://kaza_esw_2026/ESW_1061454200_2025_SEP_NOV0000000000-0000000000.tif,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a5e,NOV,2730,1061454200,13919059,SEP,0000000000-0000023296,gs://kaza_esw_2026/ESW_1061454200_2025_SEP_NOV0000000000-0000023296.tif,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
