system:index,END,ESW_NPIX,ID,MWF_NPIX,PX_AREA,START,SUFFIX,URL,YEAR,.geo
00000000000000000326,MAY,50918,1051457490,0,9.554628535647032,FEB,,gs://kaza_esw_2026/ESW_1051457490_2019_FEB_MAY.tif,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000327,SEP,21571,1051457490,0,9.554628535647032,JUL,,gs://kaza_esw_2026/ESW_1051457490_2019_JUL_SEP.tif,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000328,JUL,32877,1051457490,0,9.554628535647032,MAY,,gs://kaza_esw_2026/ESW_1051457490_2019_MAY_JUL.tif,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000329,FEB,51071,1051457490,0,9.554628535647032,NOV,,gs://kaza_esw_2026/ESW_1051457490_2019_NOV_FEB.tif,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000032a,NOV,14414,1051457490,0,9.554628535647032,SEP,,gs://kaza_esw_2026/ESW_1051457490_2019_SEP_NOV.tif,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000032b,MAY,65889,1051457490,0,9.554628535647032,FEB,,gs://kaza_esw_2026/ESW_1051457490_2020_FEB_MAY.tif,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000032c,SEP,38376,1051457490,0,9.554628535647032,JUL,,gs://kaza_esw_2026/ESW_1051457490_2020_JUL_SEP.tif,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000032d,JUL,48198,1051457490,0,9.554628535647032,MAY,,gs://kaza_esw_2026/ESW_1051457490_2020_MAY_JUL.tif,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000032e,FEB,29428,1051457490,0,9.554628535647032,NOV,,gs://kaza_esw_2026/ESW_1051457490_2020_NOV_FEB.tif,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000032f,NOV,21325,1051457490,0,9.554628535647032,SEP,,gs://kaza_esw_2026/ESW_1051457490_2020_SEP_NOV.tif,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000330,MAY,96004,1051457490,0,9.554628535647032,FEB,,gs://kaza_esw_2026/ESW_1051457490_2021_FEB_MAY.tif,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000331,SEP,50314,1051457490,0,9.554628535647032,JUL,,gs://kaza_esw_2026/ESW_1051457490_2021_JUL_SEP.tif,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000332,JUL,65820,1051457490,0,9.554628535647032,MAY,,gs://kaza_esw_2026/ESW_1051457490_2021_MAY_JUL.tif,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000333,FEB,14740,1051457490,0,9.554628535647032,NOV,,gs://kaza_esw_2026/ESW_1051457490_2021_NOV_FEB.tif,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000334,NOV,32358,1051457490,0,9.554628535647032,SEP,,gs://kaza_esw_2026/ESW_1051457490_2021_SEP_NOV.tif,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000335,MAY,65759,1051457490,0,9.554628535647032,FEB,,gs://kaza_esw_2026/ESW_1051457490_2022_FEB_MAY.tif,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000336,SEP,31850,1051457490,0,9.554628535647032,JUL,,gs://kaza_esw_2026/ESW_1051457490_2022_JUL_SEP.tif,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000337,JUL,44339,1051457490,0,9.554628535647032,MAY,,gs://kaza_esw_2026/ESW_1051457490_2022_MAY_JUL.tif,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000338,FEB,26943,1051457490,0,9.554628535647032,NOV,,gs://kaza_esw_2026/ESW_1051457490_2022_NOV_FEB.tif,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000339,NOV,20739,1051457490,0,9.554628535647032,SEP,,gs://kaza_esw_2026/ESW_1051457490_2022_SEP_NOV.tif,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000033a,MAY,53639,1051457490,0,9.554628535647032,FEB,,gs://kaza_esw_2026/ESW_1051457490_2023_FEB_MAY.tif,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000033b,SEP,31596,1051457490,0,9.554628535647032,JUL,,gs://kaza_esw_2026/ESW_1051457490_2023_JUL_SEP.tif,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000033c,JUL,40788,1051457490,0,9.554628535647032,MAY,,gs://kaza_esw_2026/ESW_1051457490_2023_MAY_JUL.tif,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000033d,FEB,32818,1051457490,0,9.554628535647032,NOV,,gs://kaza_esw_2026/ESW_1051457490_2023_NOV_FEB.tif,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000033e,NOV,23447,1051457490,0,9.554628535647032,SEP,,gs://kaza_esw_2026/ESW_1051457490_2023_SEP_NOV.tif,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000033f,MAY,39156,1051457490,0,9.554628535647032,FEB,,gs://kaza_esw_2026/ESW_1051457490_2024_FEB_MAY.tif,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000340,SEP,24747,1051457490,0,9.554628535647032,JUL,,gs://kaza_esw_2026/ESW_1051457490_2024_JUL_SEP.tif,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000341,JUL,34153,1051457490,0,9.554628535647032,MAY,,gs://kaza_esw_2026/ESW_1051457490_2024_MAY_JUL.tif,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000342,FEB,19553,1051457490,0,9.554628535647032,NOV,,gs://kaza_esw_2026/ESW_1051457490_2024_NOV_FEB.tif,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000343,NOV,16602,1051457490,0,9.554628535647032,SEP,,gs://kaza_esw_2026/ESW_1051457490_2024_SEP_NOV.tif,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000344,MAY,61251,1051457490,0,9.554628535647032,FEB,,gs://kaza_esw_2026/ESW_1051457490_2025_FEB_MAY.tif,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000345,SEP,31344,1051457490,0,9.554628535647032,JUL,,gs://kaza_esw_2026/ESW_1051457490_2025_JUL_SEP.tif,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000346,JUL,44522,1051457490,0,9.554628535647032,MAY,,gs://kaza_esw_2026/ESW_1051457490_2025_MAY_JUL.tif,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000347,FEB,24611,1051457490,0,9.554628535647032,NOV,,gs://kaza_esw_2026/ESW_1051457490_2025_NOV_FEB.tif,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000348,NOV,22565,1051457490,0,9.554628535647032,SEP,,gs://kaza_esw_2026/ESW_1051457490_2025_SEP_NOV.tif,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
